№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
306447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASSYL-MED CLINIC""",221140038117,,
306407,ИП ДОКТОР РАХАТ,,830422000117,
306247,Мангистауский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения «Национальный научный центр развития здравоохранения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан,221241015157,,
306167,"Атырауский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241006277,,
305947,"Ж.К ""Akimpharm""",,680101404880,
305847,"Товарищество с ограниченной ответственностью ""АГГ-Сервис""",201240007929,,
305767,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SULTAN MED""",130840000321,,
305487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""QAZMED GLOBAL""",220940018585,,
305347,"Товарищество с ограниченной ответственностью ""Центр кинезиса""",130240030183,,
305267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""APPLE MEDICAL""",191040022832,,
305107,"Общественное объединение ""ҚАРА ШАҢЫРАҚ ҚАЗАҚСТАН""",210640033883,,
305007,"Товарищество с ограниченной ответственностью ""Kaz 2017""",170940007528,,
304947,ИП IM clinic,,810122401334,
304907,"Товарищество с ограниченной ответственностью ""АсемДентал""",230140020788,,
304867,"Товарищество с ограниченной ответственностью ""AIS 092""",221040020309,,
304767,"ТОО ""Институт неврологии и нейрореабилитации имени Смагула Кайшибаева""",190540012563,,
304727,"ТОО ""PRO KINES""",220740019144,,
304627,Акмолинский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения «Национальный научный центр развития здравоохранения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан,221141051833,,
304547,"Товарищество с ограниченной ответственностью ""NAMA Group""",180540008593,,
304487,"Товарищество с ограниченной ответственностью ""BRC Kazakhstan""",140640015700,,
304447,"ТОО ""NazDarMed""",221240007319,,
304407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ALM GROUP CO""",171040039645,,
304347,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MAXENERGY""",150840014945,,
304267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SHAYKHAN GOLD""",190640019445,,
304227,"ТОО ""Центр витилиго и здоровья кожи""",200940007113,,
304187,"Товарищество с ограниченной ответственностью ""АСТ Мед Сервис""",180140010570,,
303947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICINE EQUIPMENT SERVICE""",190340004555,,
303907,"Товарищество с ограниченной ответственностью ""AK.life""",210440016423,,
303807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДНУРПЛЮС""",151240017013,,
303747,"Товарищество с ограниченной ответственностью ""ЦентрМедТорг""",081240015498,,
303707,"Товарищество с ограниченной ответственностью ""MM-clinic""",220340035365,,
303627,ИП БАЙХАДАМОВ,,891118301244,
303527,"Товарищество с ограниченной ответственностью ""32 дента клиник""",230240046488,,
303447,"СЕВЕРО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАЦИОНАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР РАЗВИТИЯ ЗДРАВООХРАНЕНИЯ ИМЕНИ САЛИДАТ КАИРБЕКОВОЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",221241002373,,
303387,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖДУНАРОДНЫЙ КЛИНИЧЕСКИЙ ЦЕНТР РЕПРОДУКТОЛОГИИ ""PERSONA"" В ГОРОДЕ УСТЬ-КАМЕНОГОРСК",220741044532,,
303307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРТ ЦЕНТР""",220740035627,,
303227,ИП ҚҰРБАНӘЛІ АЛМАТ,,950609300612,
303127,"Товарищество с ограниченной ответственностью ""Реацентр Казахстан""",160540018953,,
303067,"ТОО ""ФАРМАЛАБ""",100140004274,,
303027,"Костанайский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан""",221241009201,,
302967,"Товарищество с ограниченной ответственностью ""Альянс Медикал""",060840012934,,
302887,"Товарищество с ограниченной ответственностью ""WTC Group""",160940015200,,
302767,"ТОО ""GALA MEDICAL""",180740014017,,
302707,МУШЕКЕНОВ ОЛЖАС,,890720301155,
302507,"ТОО ""ГЕНЕЗИСС""",170340001130,,
302427,"Товарищество с ограниченной ответственностью ""РОСАМЕД""",050340003599,,
302327,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОДЖИ""",130540005163,,
302287,"Астанинский городской филиал Республиканского государственного предприятия на праве хозяйственного ведения «Национальный научный центр развития здравоохранения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан""",221241007760,,
302187,"Павлодарский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241006188,,
301987,Западно-Казахстанский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения «Национальный научный центр развития здравоохранения имени Салидат Каирбековой» Министерства здравоохранения Республики Казахстан,221241012192,,
301907,"Товарищество с ограниченной ответственностью ""Doctor Ermek""",220940041420,,
301867,"областной филиал Абай Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241019368,,
301787,"Восточно-Казахстанский областной филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный научный центр развития здравоохранения имени Салидат Каирбековой"" Министерства здравоохранения Республики Казахстан",221241005922,,
